N,max_threads,seed,elapsed,sorted
100000,1,5401,0.008571000,1
100000,1,13826,0.013229000,1
100000,1,32075,0.012225000,1
100000,2,12044,0.005246000,1
100000,2,12883,0.011244000,1
100000,2,9381,0.007684000,1
100000,4,20687,0.005209000,1
100000,4,11967,0.006695000,1
100000,4,22852,0.005881000,1
100000,8,18926,0.006462000,1
100000,8,19965,0.006569000,1
100000,8,22173,0.007717000,1
200000,1,3933,0.029292000,1
200000,1,29431,0.017477000,1
200000,1,27897,0.022603000,1
200000,2,25329,0.015819000,1
200000,2,26026,0.013741000,1
200000,2,21162,0.015198000,1
200000,4,6729,0.007620000,1
200000,4,26151,0.010331000,1
200000,4,30418,0.009822000,1
200000,8,28176,0.008684000,1
200000,8,31535,0.009346000,1
200000,8,27638,0.010085000,1
500000,1,18636,0.049878000,1
500000,1,343,0.037448000,1
500000,1,7113,0.052462000,1
500000,2,9035,0.045597000,1
500000,2,3682,0.034013000,1
500000,2,10661,0.040070000,1
500000,4,25321,0.032360000,1
500000,4,15092,0.031945000,1
500000,4,1127,0.028378000,1
500000,8,24479,0.019428000,1
500000,8,26549,0.021024000,1
500000,8,23825,0.014420000,1
1000000,1,26295,0.070552000,1
1000000,1,3768,0.074614000,1
1000000,1,1278,0.082454000,1
1000000,2,30011,0.064239000,1
1000000,2,14579,0.072707000,1
1000000,2,21818,0.084900000,1
1000000,4,18017,0.056814000,1
1000000,4,11633,0.056898000,1
1000000,4,24313,0.051778000,1
1000000,8,14613,0.038434000,1
1000000,8,2848,0.034471000,1
1000000,8,19911,0.032505000,1
